
> drmvyz@1.0.0 dev
> vite --host 127.0.0.1 --port 5173

Re-optimizing dependencies because lockfile has changed

  VITE v5.4.21  ready in 150 ms

  ➜  Local:   http://127.0.0.1:5173/
1:03:29 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
1:03:38 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
1:03:47 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
1:08:33 AM [vite] hmr update /src/components/vyzualz/recording/RecordingPanel.tsx
1:08:46 AM [vite] hmr update /src/components/vyzualz/VyzualzView.tsx
1:08:54 AM [vite] hmr update /src/components/vyzualz/VyzualzView.tsx
1:19:50 AM [vite] hmr update /src/components/vyzualz/VyzualzView.tsx
1:19:59 AM [vite] hmr update /src/components/vyzualz/recording/RecordingPanel.tsx
1:20:04 AM [vite] hmr update /src/components/vyzualz/recording/RecordingPanel.tsx
1:20:15 AM [vite] hmr update /src/components/vyzualz/recording/RecordingPanel.tsx
1:20:19 AM [vite] hmr update /src/components/vyzualz/recording/RecordingPanel.tsx
1:20:41 AM [vite] hmr update /src/components/vyzualz/recording/RecordingPanel.tsx
1:20:51 AM [vite] hmr update /src/components/vyzualz/VyzualzView.tsx
1:21:48 AM [vite] hmr update /src/components/vyzualz/VyzualzView.tsx
2:03:01 AM [vite] hmr update /src/components/vyzualz/VyzualzView.tsx, /src/components/vyzualz/layout/VyzualzTopBar.tsx, /src/components/vyzualz/modulation/ModulationPanel.tsx, /src/components/vyzualz/TimelinePanel.tsx, /src/components/vyzualz/media/MediaDeckPanel.tsx, /src/components/vyzualz/layers/VzLayersPanel.tsx, /src/components/vyzualz/settings/SettingsModal.tsx, /src/components/vyzualz/media/MediaStatusBar.tsx, /src/components/vyzualz/MediaUploadModal.tsx, /src/components/vyzualz/sessions/SavePresetDialog.tsx, /src/components/vyzualz/stage/RenderSourceBadge.tsx, /src/components/vyzualz/layout/OutputHealthIndicator.tsx, /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:03:13 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:03:21 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:03:26 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:03:32 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:03:37 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:03:42 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:03:46 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:03:53 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:07:11 AM [vite] hmr update /src/components/vyzualz/stage/PreviewOverlay.tsx
2:07:22 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualPreview.tsx
2:07:30 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualPreview.tsx
2:27:55 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:28:06 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:28:16 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:28:23 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:28:30 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:28:38 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:28:58 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:29:06 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:29:11 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:29:18 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:29:24 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:30:29 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:30:47 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:31:18 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:31:26 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:31:50 AM [vite] hmr update /src/components/vyzualz/stage/LiveVisualCanvas.tsx
2:45:41 AM [vite] vite.config.ts changed, restarting server...
2:45:41 AM [vite] server restarted.
2:46:06 AM [vite] page reload coverage/lcov-report/index.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/index.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/App.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/types.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/audio/index.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/audio/routing.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/auth/index.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/auth/AuthPage.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/shared/index.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/shared/TrackScrubber.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/index.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/BpmInput.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/LyricManagerModal.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/MediaUploadModal.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/SettingsModal.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/TimelinePanel.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/VyzualzErrorBoundary.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/VyzualzSidebar.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/VyzualzView.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/visualEffects.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/effects/index.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/effects/EffectChainPanel.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/effects/EffectControlsPanel.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/effects/EffectGroup.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/effects/VzSlider.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/effects/beatFlash.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/effects/beatRing.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/effects/circularSpectrum.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/effects/colorCycle.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/effects/edgeFlicker.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/effects/edgeGlow.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/effects/kaleidoscope.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/effects/mirrorSplit.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/effects/noiseFog.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/effects/oscilloscope.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/effects/particleBurst.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/effects/radialBlur.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/effects/reactiveGrid.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/effects/registry.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/effects/scanlines.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/effects/spectrumBars.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/effects/strobe.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/effects/types.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/effects/vhsStatic.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/hooks/index.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/hooks/useMediaNavigation.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/hooks/useTapTempo.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/hooks/useVyzualzKeyboard.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/hooks/useWaveformPeaks.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/layers/index.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/layers/VzLayersPanel.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/layout/index.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/layout/BottomPerformanceBar.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/layout/OutputHealthIndicator.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/layout/RailTabs.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/layout/StageArea.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/layout/VyzualzShell.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/layout/VyzualzTopBar.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/layout/WorkspaceRail.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/media/index.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/media/MediaDeckPanel.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/media/MediaStatusBar.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/media/generateThumbnail.ts.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/modulation/index.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/modulation/ModulationPanel.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/recording/index.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/recording/RecordingPanel.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/sessions/index.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/sessions/PresetStrip.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/sessions/SavePresetDialog.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/sessions/SessionPanel.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/settings/index.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/settings/SettingsModal.tsx.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/stage/index.html
2:46:06 AM [vite] page reload coverage/lcov-report/src/components/vyzualz/stage/LiveVisualCanvas.tsx.html
